City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aasiaat,GL,68.7098,-52.8699,33.51,99,100,7.02,snow
1,Pemberton,CA,50.3164,-122.8027,77.2,31,17,2.71,few clouds
2,Poplar Bluff,US,36.757,-90.3929,55.29,27,0,11.5,clear sky
3,Yar-Sale,RU,66.8333,70.8333,39.65,94,100,13.65,overcast clouds
4,Albany,US,42.6001,-73.9662,55.89,63,76,8.63,broken clouds
5,Souillac,MU,-20.5167,57.5167,70.18,73,20,10.36,few clouds
6,Pechenga,RU,69.5259,31.1703,36.63,95,79,18.57,broken clouds
7,Hilo,US,19.7297,-155.09,90.28,69,0,8.05,clear sky
8,Ryotsu,JP,38.0833,138.4333,52.88,56,25,6.17,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,68.83,62,0,19.01,clear sky
10,Hobart,AU,-42.8794,147.3294,54.91,83,75,8.05,broken clouds
11,Phalodi,IN,27.1333,72.3667,78.15,23,0,9.17,clear sky
12,Fioletovo,AM,40.7224,44.7177,46.89,86,83,3.58,broken clouds
13,Kapaa,US,22.0752,-159.319,85.1,70,0,6.91,clear sky
14,Slave Lake,CA,55.2834,-114.769,65.46,31,0,6.71,clear sky
15,Mataura,NZ,-46.1927,168.8643,50.22,53,60,5.84,broken clouds
16,Port Lincoln,AU,-34.7333,135.8667,58.91,88,2,10.49,clear sky
17,Tilichiki,RU,60.4667,166.1,33.22,86,67,12.12,broken clouds
18,Dali,CN,25.7,100.1833,53.56,73,97,2.73,overcast clouds
19,Lebu,CL,-37.6167,-73.65,56.07,75,54,6.62,broken clouds
20,Ushuaia,AR,-54.8,-68.3,46.06,66,40,26.46,scattered clouds
21,Sarkand,KZ,45.41,79.9186,41.97,91,96,2.98,overcast clouds
22,Castro,BR,-24.7911,-50.0119,60.46,97,100,4.72,overcast clouds
23,Ningxiang,CN,37.34,111.2052,45.39,41,0,7.09,clear sky
24,Adrar,MR,20.5022,-10.0711,89.24,12,100,10.63,overcast clouds
25,Chokurdakh,RU,70.6333,147.9167,6.69,97,98,5.64,overcast clouds
26,Esperance,AU,-33.8667,121.9,50.13,88,0,9.84,clear sky
27,Mamontovo,RU,52.7055,81.6244,36.54,79,91,6.35,overcast clouds
28,Ormara,PK,25.2088,64.6357,79.84,72,63,7.16,broken clouds
29,Teguldet,RU,57.3064,88.1667,36.97,97,100,5.06,overcast clouds
30,Provideniya,RU,64.3833,-173.3,28.51,80,75,2.24,broken clouds
31,Nioro,GM,13.35,-15.75,80.46,81,65,1.23,moderate rain
32,Puerto Escondido,MX,15.85,-97.0667,77.83,65,100,4.61,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,51.91,43,20,31.07,few clouds
34,Vaini,TO,-21.2,-175.2,76.78,80,100,7.87,overcast clouds
35,Alice Springs,AU,-23.7,133.8833,58.55,77,0,8.05,clear sky
36,Severnyy,RU,50.677,36.5532,51.84,54,0,11.18,clear sky
37,Atuona,PF,-9.8,-139.0333,76.6,68,2,14.47,clear sky
38,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.56,84,40,9.84,scattered clouds
39,Avarua,CK,-21.2078,-159.775,78.85,57,40,19.57,scattered clouds
40,Caldas Novas,BR,-17.7417,-48.625,88.41,19,19,7.05,few clouds
41,Maceio,BR,-9.6658,-35.7353,76.44,88,75,18.41,broken clouds
42,Jamestown,US,42.097,-79.2353,41.02,89,100,14.97,overcast clouds
43,Saskylakh,RU,71.9167,114.0833,16.45,88,100,13.0,overcast clouds
44,Klaksvik,FO,62.2266,-6.589,40.12,66,97,8.1,overcast clouds
45,Bonnyville,CA,54.2668,-110.735,70.2,22,100,8.25,overcast clouds
